Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
TSAFFN,0.003119066,5.89E-30,numeric,Positive,No,Travel Segment - Travel Affinity,"Predicts the likelihood of an individual to use a credit card to book travel that is affiliated with an airline, hotel or rental car company.",0-9,,
INVEXPL,0.003575502,4.23E-33,categorical,Not Applicable,No,Investor Experience Level,Predicts an individual's level of experiance with making decisions about their investments.  ,"B - Beginner
M - Moderate
E - Experienced",,
INVRISKT,0.000105313,0.042327161,categorical,Not Applicable,No,Investment Risk Tolerance,"Predicts the likelihood an individual's risk tolerance for investments ranked into high (aggressive), moderate (moderately aggressive), and low (conservative)","H - High
M - Moderate
L - Low ",,
INVRETIR,0.010146575,2.72E-93,numeric,Negative,No,Investment Products - Retirement,"Predicts the likelihood an individual will utilize various investment products (401K, IRA, etc) for retirement income","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
INVEQ,0.011168507,1.60E-102,numeric,Negative,No,Investment Products - Equities,Predicts the likelihood of an individual to invest in investment products like stocks and bonds to build equity,"0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
INVCASH,0.010614122,1.63E-97,numeric,Negative,No,Investment Products - Cash,Predicts the likelihood of an individual to utilize investment products for cash accumulation,"0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference ",,
INVINSUR,0.009508402,1.57E-87,numeric,Negative,No,Investment Products - Insurance,Predicts the likelihood an individual will invest in different annuities and whole life insurance products,"0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference ",,
INVRECOM,0.013327671,4.72E-122,numeric,Negative,No,Investment Products - Real Estate/Commodities,"Predicts the likelihood an individual will invest in real estate, precious metals or collectibles","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference ",,
INVPROF,0.009410281,1.21E-86,numeric,Negative,No,Investor Channel - Professional,Predicts an individual to use a professional investment advisor for all aspects of financial planning," 0 - Most Likely 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 - Least Likely",,
INVSELFD,0.009210204,7.71E-85,numeric,Negative,No,Investor Channel - Self Directed,"Predicts an individual directing their own investments through online trading sites, recommendations and researching company websites"," 0 - Most Likely 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 - Least Likely",,
SAVERSST,0.000190294,0.002987843,numeric,Negative,No,Savers - Short Term,Predicts individuals likely to save for the time period up to three years," 0 - Most Likely 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 - Least Likely",,
SAVERSLT,0.000513636,2.59E-06,numeric,Negative,No,Savers - Long Term,Predicts individuals likely to save for time periods longer than three years," 0 - Most Likely 
 1 
 2 
 3 
 4 
 5 
 6 
 7 
 8 
 9 - Least Likely",,
GENERS20,0.02111604,1.33E-168,categorical,Not Applicable,No,Generations 2.0,"A segmentation system comprised of five generational groups and 36 unique clusters based on common purchasing power and behavior, lifestyle choices, demographic attributes, socioeconomic status and attitudes.",See Generations 2.0 Tab,,
MEDA,0.001216283,9.35E-13,numeric,Negative,No,Medicare Advantage Percentage,The percentage of beneficiaries enrolled in a Medicare Advantage plan within a county calculated by dividing the number of enrollees by the number of beneficiaries.,00-99,Drop 0,
PDPE,0.004900449,5.31E-46,numeric,Positive,No,Prescription Drug Plan Enrollment Percentage,The percentage of Medicare beneficiaries enrolled in a standalone Prescription Drug Plan (PDP) within a county. Penetration is calculated by dividing the number of PDP enrollees by the number of Medicare beneficiaries.,00-99,Drop 0,
FILLER.2,NA,NA,Other,NA,Yes,#N/A,,#N/A,,
MEDSUP,0.000153638,0.013802093,numeric,Negative,No,Medicare Supplement Insurance Responder Index,Indicates the propensity of an individual aged 65 or older to respond to a Medicare Supplement insurance offer.,"BLANK
0 - Most likely to respond
1
2
3
4
5
6
7
8
9 - Least likely to respond",,
LTCINDX,0.001257719,2.90E-10,numeric,Negative,No,Long Term Care Insurance Index,Indicates the propensity of an individual age 45+ to respond to a long term care insurance offer. The value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.,0-9,,
HINSUB,0.009627629,1.95E-86,categorical,Not Applicable,No,Health Insurance Subsidy Indicator, Indicates if the household may be eligible for a government subsidy to assist with healthcare insurance costs.,"A - Households that may qualify for Medicaid based on the number of persons present and their estimated household income. 
B - Households that may qualify for reduced cost sharing & premium tax credits based on the number of persons present and their estimated household income. 
C - Households that may qualify for premium tax credits only based on the number of person present and their estimated household income. 
U - Unknown",Drop U,HINSUB_U
HLTHUNIN,-1.67E-05,0.576074199,numeric,Negative,No,Percent Healthcare Uninsured Estimate,The estimated percentage of individuals within a county without healthcare insurance under the age of 65.,00-99,,
IRIHLTH,6.02E-05,0.233820176,numeric,Positive,No,Insurance Responder Index - Health,A statistical model predicting an individual aged 18-64 likely to respond to health insurance offers. Includes both offline and online responders.,0-9,,
IRILIFE,0.00091541,5.18E-10,numeric,Positive,No,Insurance Responder Index - Life,A statistical model predicting an individual's likelihood of responding to life insurance offers. Includes both offline and online responders. ,0-9,,
IRISNR,0.001236327,7.50E-11,numeric,Positive,No,Insurance Responder Index - Seniors,A statistical model predicting an individual aged 64+ likely to respond to Medicare Supplement or Medicare Advantage insurance offers. Includes both offline and online responders.,0-9,,
IRIAUTO,0.007433397,8.12E-69,numeric,Positive,No,Insurance Responder Index - Auto,A statistical model predicting an individual's likelihood of responding to automotive insurance offers. Includes both offline and online responders.,0-9,,
ENGAGE,0.000637313,1.85E-07,numeric,Negative,No,Health Insurance Engagement Index,A statistical model predicting the likelihood of an individual to engage with a brand. The value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.,0-9,,
INFLUENC,0.003000036,6.97E-29,numeric,Positive,No,Health Insurance Influence Index,A statistical model predicting the likelihood of an individual to be influenced by a brand. The value of 0 indicates individual is most likely to respond and 9 being the least likely to respond.,0-9,,
CHANPR1,0.003489132,2.76E-30,categorical,Not Applicable,No,Channel Preference - First Preference,"A demographic based analytical model which predicts the primary preference of how an individual wants to be contacted.
","P = Phone 
C = Cell 
T = Text 
E = Email 
M = Mail 
W = Web
",,
CHANPR2,0.004633415,2.36E-40,categorical,Not Applicable,No,Channel Preference - Second Preference,"A demographic based analytical model which predicts the second preference of how an individual wants to be contacted.
","P = Phone 
C = Cell 
T = Text 
E = Email 
M = Mail 
W = Web",,
CHANPRC,0.004260667,3.06E-40,numeric,Positive,No,Channel Preference Index - Cell,"A demographic based analytical model which predicts an individuals preference to be contacted via cell phone.
","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
CHANPRE,0.006745593,1.28E-62,numeric,Negative,No,Channel Preference Index - Email,"A demographic based analytical model which predicts an individuals preference to be contacted via electronic mail.
","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
CHANPRM,0.00093748,3.26E-10,numeric,Negative,No,Channel Preference Index - Mail,"A demographic based analytical model which predicts an individuals preference to be contacted  via postal mail.
","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
CHANPRP,0.004546945,8.10E-43,numeric,Negative,No,Channel Preference Index - Phone,A demographic based analytical model which predicts an individuals preference to be contacted via telephone.,"0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
CHANPRT,0.004138131,3.89E-39,numeric,Positive,No,Channel Preference Index - Text,"A demographic based analytical model which predicts an individuals preference to be contacted via text message.
","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
CHANPRW,0.000712602,3.75E-08,numeric,Positive,No,Channel Preference Index - Web,"A demographic based analytical model which predicts an individuals preference to be contacted via the providers website.
","0 - Most likely preference 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least likely preference",,
UNININDX,0.001724205,2.31E-17,numeric,Positive,No,Uninsured Index,A statistical model predicting an individual between the ages of 18 and 64 does not have health insurance coverage.,"0 - MOST LIKELY
1
2
3
4
5
6
7
8
9 - LEAST LIKELY",,
DUALELIG,0.000508712,2.88E-06,numeric,Positive,No,Dual Eligible Index,A statistical model predicting an individual aged 64 + to be eligible both Medicare and Medicaid.,"0 - MOST LIKELY
1
2
3
4
5
6
7
8
9 - LEAST LIKELY",,
HIDIRPAY,0.000404654,2.70E-05,numeric,Positive,No,Health Insurance Direct Pay Index,A statistical model predicting an individual likely to purchase private health insurance directly from the insurance provider (not their employer).,"0 - MOST LIKELY
1
2
3
4
5
6
7
8
9 - LEAST LIKELY",,
SSPIDENT,0.000679929,7.51E-08,numeric,Negative,No,Single Service Plan - Dental,A statistical model predicting an individual likely to respond to dental insurance offers.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
SSPIVISN,-2.42E-05,0.940911124,numeric,Positive,No,Single Service Plan - Vision,A statistical model predicting an individual likely to respond to vision insurance offers.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
SSPIDISA,0.000293757,0.000300954,numeric,Positive,No,Single Service Plan - Disability,A statistical model predicting an individual likely to respond to disability insurance offers.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSJUVE,0.006417868,1.15E-59,numeric,Positive,No,Insurance Index - Juvenile Life,A demographic based analytical model which predicts the likelihood the household purchased life insurance for their children.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSFINEX,0.004275573,2.25E-40,numeric,Positive,No,Insurance Index - Final Expense,A demographic based analytical model which predicts the likelihood the household may respond to a marketing offer for final expense insurance.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSPAFUN,0.001423101,1.24E-14,numeric,Negative,No,Insurance Index - Prearranged Funeral,A demographic based analytical model which predicts the likelihood the household may respond to an offer of prearranged/prepaid funeral planning.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSTERM,0.003322088,8.72E-32,numeric,Negative,No,Insurance Index - Term Life,A demographic based analytical model which predicts the likelihood the household may respond to an offer of term life insurance.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSTERMA,0.002069096,2.10E-18,categorical,Not Applicable,No,Insurance Amount - Term Life,A demographic based analytical model which predicts the amount of term life insurance the household may need.,"A - Less than $100,000 
B - $100,000 to less than $250,000 
C - $250,000 to less than $500,000 
D - $500,000 to less than $1,000,000 
E - $1,000,000 +",scale,
INSWHOLE,0.002189473,1.43E-21,numeric,Negative,No,Insurance Index - Whole Life,A demographic based analytical model which predicts the likelihood the household may respond to an offer of whole life insurance.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
INSWHOLA,0.004348088,1.75E-38,categorical,Not Applicable,No,Insurance Amount - Whole Life,A demographic based analytical model which predicts the amount of whole life insurance the household may need.,"A - Less than $100,000 
B - $100,000 to less than $250,000 
C - $250,000 to less than $500,000 
D - $500,000 to less than $1,000,000 
E - $1,000,000 +",scale,
CHAPAHIP,0.00026561,0.001574098,categorical,Not Applicable,No,Auto/Home Insurance Purchase Distribution Channel,A demographic based analytical model which predicts the primary preference of how an individual wants to purchase automobile or homeowner insurance.,"A - Agent 
D - Direct Response 
O - Online",,
CHAPAHIQ,0.002865369,9.54E-27,categorical,Not Applicable,No,Auto/Home Insurance Quote Distribution Channel,A demographic based analytical model which predicts the primary preference of how an individual wants to get a quote for automobile or homeowner insurance.,"A - Agent 
D - Direct Response 
O - Online",,
CHAPLIP,0.002677288,4.58E-25,categorical,Not Applicable,No,Life Insurance Purchase Distribution Channel,A demographic based analytical model which predicts the primary preference of how an individual wants to purchase life insurance.,"A - Agent 
D - Direct Response 
O - Online",,
CHAPLIQ,0.000102653,0.04470356,categorical,Not Applicable,No,Life Insurance Quote Distribution Channel,A demographic based analytical model which predicts the primary preference of how an individual wants to get a quote for life insurance.,"A - Agent 
D - Direct Response 
O - Online",,
ALTRUIST,0.000878479,1.13E-09,numeric,Positive,No,Altruist Index,A demographic based analytical model which predicts the likelihood of an individual to have a moral obligation to help others.,"0 - Most Likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
ANNUITRI,0.002482355,3.25E-24,numeric,Positive,No,Annuity Responder Index,A demographic based analytical model which predicts the likelihood of individuals between the ages of 60 and 75 to respond to an annuity insurance marketing offer.,"0 - Most Likely 
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
